	age
GTEX-111YS-0006-SM-5NQBE	Old (60-79)
GTEX-1122O-0005-SM-5O99J	Old (60-79)
GTEX-1128S-0005-SM-5P9HI	Old (60-79)
GTEX-113IC-0006-SM-5NQ9C	Old (60-79)
GTEX-117XS-0005-SM-5PNU6	Old (60-79)
GTEX-1192W-0005-SM-5NQBQ	Old (60-79)
GTEX-11DXW-0006-SM-5NQ7Y	Young (20-49)
GTEX-11DXX-0005-SM-5NQ8B	Old (60-79)
GTEX-11DXY-0006-SM-5NQ8N	Old (60-79)
GTEX-11DYG-0006-SM-5NQB2	Old (60-79)
GTEX-11EI6-0005-SM-5N9GN	Old (60-79)
GTEX-11EM3-0005-SM-5N9DK	Young (20-49)
GTEX-11EMC-0006-SM-5O9DN	Old (60-79)
GTEX-11EQ8-0006-SM-5P9HJ	Old (60-79)
GTEX-11EQ9-0006-SM-5LUB6	Young (20-49)
GTEX-11GS4-0006-SM-5SI9M	Old (60-79)
GTEX-11GSO-0005-SM-5O9CA	Old (60-79)
GTEX-11GSP-0006-SM-5N9EL	Old (60-79)
GTEX-11LCK-0005-SM-5O98U	Young (20-49)
GTEX-11NV4-0005-SM-5N9EX	Old (60-79)
GTEX-11O72-0006-SM-5O9DB	Young (20-49)
GTEX-11OC5-0006-SM-5N9FA	Old (60-79)
GTEX-11OF3-0006-SM-5O9CM	Old (60-79)
GTEX-11ONC-0005-SM-5O9CY	Old (60-79)
GTEX-11P7K-0006-SM-5N9FM	Young (20-49)
GTEX-11P81-0006-SM-5NQ7A	Young (20-49)
GTEX-11P82-0006-SM-5N9FY	Young (20-49)
GTEX-11TT1-0005-SM-5NQ8Y	Young (20-49)
GTEX-11TTK-0005-SM-5O9BX	Old (60-79)
GTEX-11TUW-0006-SM-5LZW2	Old (60-79)
GTEX-11VI4-0006-SM-5N9D8	Young (20-49)
GTEX-11WQC-0006-SM-5LZVP	Old (60-79)
GTEX-11XUK-0005-SM-5LU9F	Young (20-49)
GTEX-11ZTS-0005-SM-5NQ8A	Old (60-79)
GTEX-11ZTT-0006-SM-5N9FX	Old (60-79)
GTEX-11ZU8-0005-SM-5PNU5	Old (60-79)
GTEX-11ZUS-0006-SM-5O9AJ	Young (20-49)
GTEX-1211K-0006-SM-5MR53	Old (60-79)
GTEX-12126-0006-SM-5O9B8	Young (20-49)
GTEX-1212Z-0006-SM-5NQ8M	Old (60-79)
GTEX-12584-0005-SM-5N9GM	Young (20-49)
GTEX-12696-0005-SM-5LZYS	Old (60-79)
GTEX-1269C-0005-SM-5N9CJ	Old (60-79)
GTEX-12BJ1-0006-SM-5SIB5	Old (60-79)
GTEX-12C56-0006-SM-5N9E9	Young (20-49)
GTEX-12KS4-0005-SM-5SI94	Young (20-49)
GTEX-12WSD-0005-SM-5N9FZ	Old (60-79)
GTEX-12WSE-0005-SM-5NQAE	Young (20-49)
GTEX-12WSF-0005-SM-5NQAQ	Old (60-79)
GTEX-12WSJ-0005-SM-5LU8S	Young (20-49)
GTEX-12WSK-0006-SM-5NQA1	Young (20-49)
GTEX-12WSM-0005-SM-5NQB3	Old (60-79)
GTEX-12WSN-0006-SM-5NQAP	Young (20-49)
GTEX-12ZZX-0005-SM-5O9A9	Young (20-49)
GTEX-13113-0006-SM-5NQ7X	Old (60-79)
GTEX-1314G-0005-SM-5NQ9O	Young (20-49)
GTEX-131XF-0006-SM-5P9HK	Old (60-79)
GTEX-131YS-0005-SM-5NQAS	Old (60-79)
GTEX-132NY-0005-SM-5O9AC	Old (60-79)
GTEX-132Q8-0006-SM-5NQA4	Old (60-79)
GTEX-132QS-0005-SM-5LZXK	Old (60-79)
