senescence_Young,senescence_Old,searchwords_Young,searchwords_Old,papergenes_Young,papergenes_Old,age-signa._Young,age-signa._Old,all_Young,all_Old
"CXCL8, -7.59","CXCL8, 7.76","CXCL8, -7.4","CXCL8, 7.51","TLR5, 3.44","TLR5, -3.96","KCNJ2, 3.66","KCNJ2, -4.2","CXCL8, -7.74","CXCL8, 7.99"
"JUN, -5.22","JUN, 5.57","HILPDA, -5.93","HILPDA, 6.67","KREMEN1, 3.01","KREMEN1, -3.58","VEGFA, -3.36","IFNG, 3.84","HILPDA, -6.1","HILPDA, 7.08"
"CCL3, -5.03","CCL3, 5.52","JUN, -5.08","CCL3, 5.39","GZMH, -2.98","KCNH7, -3.29","BAG3, -3.15","VEGFA, 3.76","CCL3, -5.22","CCL3, 5.97"
"HSPA1B, -4.43","HSPA1B, 4.58","CCL3, -4.81","JUN, 5.35","KCNH7, 2.81","GZMH, 3.07","TNFSF10, 3.12","MRVI1, -3.68","JUN, -5.04","JUN, 5.47"
"PLAU, -3.78","PLAU, 4.24","DUSP2, -4.5","DUSP2, 5.03","TGFBR3, -2.59","AIM2, -2.86","MRVI1, 3.02","TNFSF10, -3.49","DUSP2, -4.4","PRG2, 5.42"
"IFNG, -3.4","IFNG, 4.06","PRG2, -4.09","PRG2, 5.02","FCRL6, -2.5","SLC22A4, -2.72","BHLHE40, -2.94","BAG3, 3.41","PRG2, -4.36","DUSP2, 5.14"
"KIR2DL1, -2.97","GADD45G, 3.29","CCL4, -3.84","CCL4, 4.32","SLC22A4, 2.49","TGFBR3, 2.69","IFNG, -2.92","SNAI1, 3.25","HSPA1B, -4.18","PRG3, 5.07"
"GADD45G, -2.77","KIR2DL3, 3.01","HBEGF, -3.82","PRG3, 4.2","AIM2, 2.43","FCRL6, 2.64","ECHDC3, 2.82","MANSC1, -3.23","HBEGF, -4.04","IFNG, 5.03"
"KIR2DL3, -2.75","KIR2DL1, 2.95","VEGFA, -3.55","LTF, 4.09","FGFBP2, -2.34","CASP5, -2.44","FOLR3, 2.77","APOC1, 3.22","IFNG, -4.03","PLAU, 4.56"
"SERPINE1, -2.71","IL6R, -2.3","IL1R2, 3.48","IFNG, 4.0","PRSS23, -2.33","HLA-DQA1, 2.42","SNAI1, -2.77","BHLHE40, 3.22","PLAU, -3.96","HSPA1B, 4.45"
