Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interleukin-2 signaling pathway	23/847	2.190579208594262E-11	1.2311055152299753E-8	0	0	6.915080065565502	169.72559244471273	JUN;CXCL8;SYK;NKG7;PIK3CD;NMI;KIF22;PRSS23;GADD45G;TGFBR2;VEGFA;ABLIM1;DHRS7;RGS3;DUSP10;IFNG;PPP2R2B;GPR183;CCL4;TNFSF10;CCL3;EZH2;IL12RB2
Toll-like receptor signaling pathway regulation	11/142	1.2901276616189732E-10	3.6252587291493145E-8	0	0	18.651599622609144	424.7176220935012	JUN;CXCL8;SYK;TOLLIP;CCL4;CCL3;PIK3CD;RIPK1;TLR5;MYD88;TIRAP
Immune system	21/998	1.7652716228146125E-8	3.306942173406041E-6	0	0	5.148581941619269	91.91442157138137	JUN;CDKN1A;SYK;ICAM3;PIK3CD;ITPR3;KIF22;KIR2DL3;KIR2DL4;TIRAP;PSMB8;UBE2J1;PYCARD;PSMD6;AIM2;IFNG;TOLLIP;RIPK1;PIK3C3;TLR5;MYD88
Chagas disease	8/104	5.100596622054119E-8	7.166338253986037E-6	0	0	17.93840579710145	301.20956990452106	JUN;CXCL8;IFNG;PPP2R2B;CCL3;PIK3CD;MYD88;TGFBR2
Senescence and autophagy	7/99	6.456173156350435E-7	6.137818389275146E-5	0	0	16.205703599812995	230.98084791361276	JUN;CDKN1A;CXCL8;IFNG;IFI16;CCL3;PIK3C3
FSH regulation of apoptosis	10/263	7.981710807840109E-7	6.137818389275146E-5	0	0	8.628458498023715	121.15169287460492	ZNF331;ABLIM1;TUBA1A;TUBB;PIK3CD;APOE;EZR;RHOB;TGFBR2;VEGFA
Cytokine-cytokine receptor interaction	10/265	8.550714204308335E-7	6.137818389275146E-5	0	0	8.5599128540305	119.5997943698599	CXCL8;IFNG;CCL4L2;CCL4;TNFSF10;CCL3;TNFSF9;TGFBR2;IL12RB2;VEGFA
Interleukin-12-mediated signaling events	6/65	8.73710802743793E-7	6.137818389275146E-5	0	0	21.465200144248108	299.45062675658284	IFNG;CCL4L2;TBX21;CCL3;IL12RB2;GADD45G
Toll receptor cascades	8/159	1.3393188313040942E-6	8.363302035476677E-5	0	0	11.37287647566945	153.79938235558322	JUN;TOLLIP;RIPK1;PIK3C3;TLR5;MYD88;TIRAP;UBE2J1
Fas signaling pathway	7/115	1.7803660782147685E-6	9.161863708052695E-5	0	0	13.793707686180804	182.6106414280396	CXCL8;SYK;CYCS;PIK3CD;RIPK1;EZR;MYD88
T cell receptor regulation of apoptosis	14/603	1.7932473449925202E-6	9.161863708052695E-5	0	0	5.337268527658231	70.61997470785742	JUN;CDKN1A;CD83;CXCL8;CCL4L2;TUBB;PSMB8;PYCARD;IFNG;IFI16;CCL4;CCL3;CYCS;PTMA
Apoptosis	9/242	3.5012680636072173E-6	1.6397605431227135E-4	0	0	8.348016790076876	104.87100383521116	PSMD6;JUN;PPP3CC;TNFSF10;CYCS;PIK3CD;RIPK1;MYD88;PSMB8
Natural killer cell-mediated cytotoxicity	7/137	5.714942831324485E-6	2.4706137470802776E-4	0	0	11.446650124069478	138.18883959303975	PPP3CC;SYK;IFNG;TNFSF10;PIK3CD;KIR2DL3;KIR2DL4
BDNF signaling pathway	9/261	6.465373440399007E-6	2.5953856239316017E-4	0	0	7.7111459968602825	92.1408674082214	JUN;CDKN1A;ABLIM1;TUBB;KIF22;HSPA1B;RHOB;TGFBR2;VEGFA
Selective expression of chemokine receptors during T-cell polarization	4/26	8.082295562387204E-6	3.028166737374406E-4	0	0	37.64772727272727	441.4510238762915	IFNG;CCL4;CCL3;IL12RB2
Cytosolic DNA-sensing pathway	5/56	8.816078581390528E-6	3.096647601713423E-4	0	0	20.484004127966976	238.4119596488339	PYCARD;AIM2;CCL4L2;CCL4;RIPK1
Pathogenic Escherichia coli infection	5/57	9.625669188337771E-6	3.182132990497546E-4	0	0	20.089068825910932	232.05038396305005	TUBA1A;ARPC3;TUBB;TLR5;EZR
Apoptosis modulation and signaling	5/80	5.046817087847377E-5	0.001567643752297606	0	0	13.912280701754385	137.65043835300511	JUN;TOLLIP;TNFSF10;CYCS;MYD88
Antigen processing and presentation	5/81	5.3576706495534035E-5	0.001567643752297606	0	0	13.728531855955678	135.0118210305148	IFNG;KIR2DL3;KIR2DL4;PSMB8;HSPA1B
Regular glucocorticoid receptor pathway	5/82	5.683113032407829E-5	0.001567643752297606	0	0	13.549555707450445	132.45268339594952	CDKN1A;JUN;CXCL8;IFNG;TBX21
Interleukin-4 regulation of apoptosis	8/267	5.857743558407424E-5	0.001567643752297606	0	0	6.5942588551284205	64.26211417819931	SLC22A4;JUN;CDKN1A;CXCL8;IFI16;GPR183;TNFSF10;NKG7
Interleukin-12/STAT4 pathway	4/45	7.48930003693102E-5	0.0019131757367069244	0	0	20.181910569105693	191.7170528748238	JUN;IFNG;TBX21;IL12RB2
Syndecan 3 pathway	3/17	7.837829876798801E-5	0.0019151566916351854	0	0	43.930780559646536	415.3199946350019	CXCL8;APH1B;PSEN1
Thymic stromal lymphopoietin (TSLP) pathway	5/90	8.869735588761985E-5	0.002000095207852017	0	0	12.269349845201239	114.47647534705575	CXCL8;CD83;CCL4;CCL3;PSMB8
Regulation of NFAT transcription factors	4/47	8.897220675498297E-5	0.002000095207852017	0	0	19.24127906976744	179.46699877969036	JUN;CXCL8;IFNG;TBX21
