,Term,Overlap,Adjusted P-value,Genes
1,Interleukin-2 signaling pathway,23/847,1.23e-08,JUN; CXCL8; SYK; NKG7; PIK3CD; NMI; KIF22; PRSS23; GADD45G; TGFBR2; VEGFA; ABLIM1; DHRS7; RGS3; DUSP10; IFNG; PPP2R2B; GPR183; CCL4; TNFSF10; CCL3; EZH2; IL12RB2
2,Toll-like receptor signaling pathway regulation,11/142,3.63e-08,JUN; CXCL8; SYK; TOLLIP; CCL4; CCL3; PIK3CD; RIPK1; TLR5; MYD88; TIRAP
3,Immune system,21/998,3.31e-06,JUN; CDKN1A; SYK; ICAM3; PIK3CD; ITPR3; KIF22; KIR2DL3; KIR2DL4; TIRAP; PSMB8; UBE2J1; PYCARD; PSMD6; AIM2; IFNG; TOLLIP; RIPK1; PIK3C3; TLR5; MYD88
4,Chagas disease,8/104,7.17e-06,JUN; CXCL8; IFNG; PPP2R2B; CCL3; PIK3CD; MYD88; TGFBR2
5,Senescence and autophagy,7/99,6.14e-05,JUN; CDKN1A; CXCL8; IFNG; IFI16; CCL3; PIK3C3
6,FSH regulation of apoptosis,10/263,6.14e-05,ZNF331; ABLIM1; TUBA1A; TUBB; PIK3CD; APOE; EZR; RHOB; TGFBR2; VEGFA
7,Cytokine-cytokine receptor interaction,10/265,6.14e-05,CXCL8; IFNG; CCL4L2; CCL4; TNFSF10; CCL3; TNFSF9; TGFBR2; IL12RB2; VEGFA
8,Interleukin-12-mediated signaling events,6/65,6.14e-05,IFNG; CCL4L2; TBX21; CCL3; IL12RB2; GADD45G
9,Toll receptor cascades,8/159,8.36e-05,JUN; TOLLIP; RIPK1; PIK3C3; TLR5; MYD88; TIRAP; UBE2J1
10,Fas signaling pathway,7/115,9.16e-05,CXCL8; SYK; CYCS; PIK3CD; RIPK1; EZR; MYD88
11,T cell receptor regulation of apoptosis,14/603,9.16e-05,JUN; CDKN1A; CD83; CXCL8; CCL4L2; TUBB; PSMB8; PYCARD; IFNG; IFI16; CCL4; CCL3; CYCS; PTMA
12,Apoptosis,9/242,1.64e-04,PSMD6; JUN; PPP3CC; TNFSF10; CYCS; PIK3CD; RIPK1; MYD88; PSMB8
13,Natural killer cell-mediated cytotoxicity,7/137,2.47e-04,PPP3CC; SYK; IFNG; TNFSF10; PIK3CD; KIR2DL3; KIR2DL4
14,BDNF signaling pathway,9/261,2.60e-04,JUN; CDKN1A; ABLIM1; TUBB; KIF22; HSPA1B; RHOB; TGFBR2; VEGFA
15,Selective expression of chemokine receptors during T-cell polarization,4/26,3.03e-04,IFNG; CCL4; CCL3; IL12RB2
16,Cytosolic DNA-sensing pathway,5/56,3.10e-04,PYCARD; AIM2; CCL4L2; CCL4; RIPK1
17,Pathogenic Escherichia coli infection,5/57,3.18e-04,TUBA1A; ARPC3; TUBB; TLR5; EZR
18,Apoptosis modulation and signaling,5/80,1.57e-03,JUN; TOLLIP; TNFSF10; CYCS; MYD88
19,Antigen processing and presentation,5/81,1.57e-03,IFNG; KIR2DL3; KIR2DL4; PSMB8; HSPA1B
20,Regular glucocorticoid receptor pathway,5/82,1.57e-03,CDKN1A; JUN; CXCL8; IFNG; TBX21
21,Interleukin-4 regulation of apoptosis,8/267,1.57e-03,SLC22A4; JUN; CDKN1A; CXCL8; IFI16; GPR183; TNFSF10; NKG7
22,Interleukin-12/STAT4 pathway,4/45,1.91e-03,JUN; IFNG; TBX21; IL12RB2
23,Syndecan 3 pathway,3/17,1.92e-03,CXCL8; APH1B; PSEN1
24,Thymic stromal lymphopoietin (TSLP) pathway,5/90,2.00e-03,CXCL8; CD83; CCL4; CCL3; PSMB8
25,Regulation of NFAT transcription factors,4/47,2.00e-03,JUN; CXCL8; IFNG; TBX21
26,Apoptosis modulation by HSP70,3/19,2.24e-03,CYCS; RIPK1; HSPA1B
27,Tob role in T-cell activation,3/19,2.24e-03,TGFBR3; IFNG; TGFBR2
28,Signaling by the B cell receptor (BCR),6/151,2.24e-03,PSMD6; CDKN1A; SYK; PIK3CD; ITPR3; PSMB8
29,4-1BB-dependent immune response,3/20,2.52e-03,JUN; IFNG; TNFSF9
30,MAPK signaling pathway,8/314,3.37e-03,JUN; DUSP2; DUSP10; PPP3CC; RIPK1; HSPA1B; GADD45G; TGFBR2
31,Innate immune system,8/319,3.63e-03,PYCARD; JUN; AIM2; RIPK1; PIK3C3; TLR5; MYD88; TIRAP
32,Adaptive immune system,11/606,3.75e-03,PSMD6; CDKN1A; SYK; ICAM3; PIK3CD; ITPR3; KIF22; KIR2DL3; KIR2DL4; PSMB8; UBE2J1
33,Pathways in cancer,8/325,3.75e-03,JUN; CDKN1A; CDK6; CXCL8; CYCS; PIK3CD; TGFBR2; VEGFA
34,ATF2 transcription factor network,4/59,3.75e-03,JUN; CXCL8; DUSP10; IFNG
35,Colorectal cancer,4/62,4.22e-03,JUN; PIK3CD; CYCS; TGFBR2
36,Interleukin-27-mediated signaling events,3/26,4.53e-03,IFNG; TBX21; IL12RB2
37,p53 activity regulation,5/118,4.80e-03,CDKN1A; CDK6; CYCS; GTSE1; GADD45G
38,Retinoblastoma protein regulation,4/66,4.93e-03,CDKN1A; DNMT1; JUN; CDK6
39,Interleukin-1 regulation of extracellular matrix,5/120,4.93e-03,JUN; CXCL8; IFNG; CCL4; RHOB
40,TRAIL signaling pathway,3/28,5.10e-03,TNFSF10; PIK3CD; RIPK1
41,p75 neurotrophin receptor-mediated signaling,5/124,5.35e-03,APH1B; CYCS; PSEN1; MYD88; RHOB
42,Interleukin-1 signaling pathway,5/125,5.35e-03,JUN; CXCL8; TOLLIP; MYD88; UBE2J1
43,Pancreatic cancer,4/70,5.35e-03,CDK6; PIK3CD; TGFBR2; VEGFA
44,MicroRNA regulation of DNA damage response,4/70,5.35e-03,CDKN1A; CDK6; CYCS; GADD45G
45,Cell cycle,9/453,5.57e-03,PSMD6; CDKN1A; CDK6; TUBA1A; TUBB; GINS4; CENPM; PSMB8; GADD45G
46,Chronic myeloid leukemia,4/73,5.89e-03,CDKN1A; CDK6; PIK3CD; TGFBR2
47,NF-kappaB activation by non-typeable Hemophilus influenzae,3/31,5.89e-03,CXCL8; MYD88; TGFBR2
48,Apoptosis regulation,4/78,7.40e-03,CDKN1A; PSMD6; IFNG; PSMB8
49,Activation of pro-caspase 8,2/9,9.99e-03,TNFSF10; RIPK1
50,Signal transduction through IL-1R,3/38,1.01e-02,JUN; TOLLIP; MYD88
51,Fc epsilon receptor I signaling in mast cells,3/41,1.24e-02,JUN; PPP3CC; SYK
52,Bladder cancer,3/42,1.31e-02,CDKN1A; CXCL8; VEGFA
53,Regulated proteolysis of p75 neurotrophin receptor,2/11,1.38e-02,APH1B; PSEN1
54,Notch receptor processing,2/11,1.38e-02,APH1B; PSEN1
55,Gastrin pathway,3/44,1.41e-02,JUN; CXCL8; VEGFA
56,TSH regulation of gene expression,4/97,1.43e-02,JUN; DUSP2; CXCL8; VEGFA
57,RhoA signaling pathway,3/45,1.43e-02,JUN; EZR; CIT
58,Interleukin-3 signaling pathway,3/45,1.43e-02,JUN; CXCL8; SYK
59,Alzheimer's disease,5/169,1.53e-02,PPP3CC; CYCS; ITPR3; PSEN1; APOE
60,Presenilin action in Notch and Wnt signaling,3/48,1.67e-02,JUN; APH1B; PSEN1
61,Death receptor signaling,2/13,1.72e-02,TNFSF10; RIPK1
62,Malaria,3/51,1.92e-02,CXCL8; IFNG; MYD88
63,Signaling by NOTCH2,2/14,1.92e-02,APH1B; PSEN1
64,Signaling by interleukins,4/109,1.92e-02,SYK; TOLLIP; PIK3CD; MYD88
65,Leptin influence on immune response,4/110,1.96e-02,IFNG; CCL4; TNFSF10; VEGFA
66,TGF-beta signaling pathway,5/185,2.02e-02,TGFBR3; JUN; IFNG; RUNX3; TGFBR2
67,S phase,4/112,2.03e-02,PSMD6; CDKN1A; GINS4; PSMB8
68,Binding of chemokines to chemokine receptors,3/54,2.04e-02,CXCL8; CCL4; CCL3
69,Adhesion and diapedesis of granulocytes,2/15,2.04e-02,CXCL8; IFNG
70,Chemokine signaling pathway,5/189,2.09e-02,CXCL8; CCL4L2; CCL4; CCL3; PIK3CD
71,"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",6/280,2.18e-02,SYK; IFNG; TOLLIP; PIK3CD; MYD88; PSMB8
72,Cell death signaling by NRIF in the nucleus,2/16,2.18e-02,APH1B; PSEN1
73,Hypoxia-inducible factor in the cardivascular system,2/16,2.18e-02,JUN; VEGFA
74,HIV-1 Nef as negative effector of Fas and TNF,3/58,2.33e-02,CYCS; RIPK1; PSEN1
75,NO2-dependent IL-12 pathway in NK cells,2/17,2.35e-02,IFNG; IL12RB2
76,Caspase cascade in apoptosis,3/59,2.35e-02,TNFSF10; CYCS; RIPK1
77,Inflammasomes,2/17,2.35e-02,PYCARD; AIM2
78,Pertussis toxin-insensitive CCR5 signaling in macrophage,2/18,2.56e-02,JUN; CCL4
79,CBL signaling regulation,2/18,2.56e-02,SYK; PIK3CD
80,PDGFB signaling pathway,4/129,2.69e-02,JUN; ARPC3; PPP2R2B; PIK3CD
81,DNA replication,5/207,2.69e-02,PSMD6; CDKN1A; GINS4; CENPM; PSMB8
82,Proteasome degradation,3/63,2.69e-02,PSMD6; IFNG; PSMB8
83,Calcineurin in effects in keratinocyte differentiation,2/19,2.69e-02,CDKN1A; PPP3CC
84,TP53 network,2/19,2.69e-02,CDKN1A; TNFSF10
85,Parkinson's disease,4/131,2.74e-02,VDAC2; CYCS; PPID; UBE2J1
86,Glioma,3/65,2.74e-02,CDKN1A; CDK6; PIK3CD
87,Antigen-activated B-cell receptor generation of second messengers,5/211,2.74e-02,JUN; PPP3CC; SYK; PIK3CD; ITPR3
88,Hypertrophy pathway,2/20,2.80e-02,IFNG; VEGFA
89,ID regulation of gene expression,2/20,2.80e-02,CDKN1A; CXCL8
90,"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",4/135,2.90e-02,CD83; CXCL8; CCL4; TNFSF10
91,Mitotic G1-G1/S phases,4/135,2.90e-02,PSMD6; CDKN1A; CDK6; PSMB8
92,AMPK signaling,3/68,2.90e-02,CDKN1A; PIK3CD; PIK3C3
93,Epithelial cell signaling in Helicobacter pylori infection,3/68,2.90e-02,JUN; CXCL8; ATP6V1E2
94,p53 signaling pathway,4/139,3.00e-02,PYCARD; JUN; CDKN1A; HSPA1B
95,T cell receptor signaling pathway,4/139,3.00e-02,JUN; PPP3CC; IFNG; PIK3CD
96,AP-1 transcription factor network,3/70,3.00e-02,JUN; CXCL8; IFNG
97,Signaling by NGF,5/221,3.00e-02,CDKN1A; APH1B; ITPR3; PSEN1; MYD88
98,Renal cell carcinoma,3/70,3.00e-02,JUN; PIK3CD; VEGFA
99,Melanoma,3/71,3.05e-02,CDKN1A; CDK6; PIK3CD
100,Mitochondrial pathway of apoptosis: multidomain Bcl-2 family,3/71,3.05e-02,VDAC2; ITPR3; HSPA1B
101,Cyclin A-Cdk2-associated events at S phase entry,3/72,3.11e-02,CDKN1A; PSMD6; PSMB8
102,Leishmaniasis,3/72,3.11e-02,JUN; IFNG; MYD88
103,Th1/Th2 differentiation pathway,2/23,3.16e-02,IFNG; IL12RB2
104,Cyclins and cell cycle regulation,2/23,3.16e-02,CDKN1A; CDK6
105,RANKL regulation of apoptosis and immune response,3/74,3.20e-02,PYCARD; JUN; CCL3
106,Gastric acid secretion,3/74,3.20e-02,ITPR3; EZR; KCNJ2
107,Wnt signaling pathway,5/231,3.20e-02,JUN; PPP3CC; PPP2R2B; KREMEN1; PSEN1
108,Endogenous Toll-like receptor signaling,2/24,3.28e-02,TIRAP; MYD88
109,NF-kappaB signaling pathway,2/24,3.28e-02,RIPK1; MYD88
110,VEGF signaling pathway,3/76,3.35e-02,PPP3CC; PIK3CD; VEGFA
111,Mitochondrial pathway of apoptosis: caspases,3/77,3.44e-02,CYCS; PTMA; HSPA1B
112,Phosphatidylinositol signaling system,3/78,3.53e-02,PIK3CD; PIK3C3; ITPR3
113,EGFR1 pathway,4/152,3.56e-02,CDKN1A; TUBB; CYCS; VEGFA
114,p73 transcription factor network,3/79,3.59e-02,CDKN1A; TUBA1A; CDK6
115,Fibroblast growth factor 1,2/26,3.63e-02,CDKN1A; VEGFA
116,Phagosome,4/154,3.63e-02,TUBA1A; TUBB; PIK3C3; ATP6V1E2
117,TWEAK regulation of gene expression,2/27,3.78e-02,CXCL8; CCL3
118,SMAD2/3 nuclear pathway,3/82,3.78e-02,CDKN1A; JUN; RUNX3
119,CTCF pathway,2/27,3.78e-02,TGFBR3; TGFBR2
120,TNF/stress-related signaling,2/27,3.78e-02,JUN; RIPK1
121,Cell cycle: G1/S checkpoint,2/28,3.97e-02,CDKN1A; CDK6
122,Small cell lung cancer,3/84,3.97e-02,CDK6; PIK3CD; CYCS
123,C-Myb transcription factor network,3/85,4.04e-02,CDKN1A; CDK6; PPID
124,NOD signaling pathway,3/85,4.04e-02,PYCARD; CXCL8; AIM2
125,T cell receptor calcium pathway,2/29,4.10e-02,JUN; IFNG
126,Influence of Ras and Rho proteins on G1 to S transition,2/29,4.10e-02,CDKN1A; CDK6
127,p38-alpha and p38-beta regulation,2/30,4.18e-02,DUSP10; RIPK1
128,TNFR1 signaling pathway,2/30,4.18e-02,JUN; RIPK1
129,Signaling pathway from G-protein families,2/30,4.18e-02,JUN; PPP3CC
130,"Androgen receptor signaling, proteolysis, and transcription regulation",3/88,4.18e-02,CDKN1A; JUN; RHOB
131,DNA replication pre-Initiation,3/88,4.18e-02,CDKN1A; PSMD6; PSMB8
132,Apoptosis intrinsic pathway,2/30,4.18e-02,PPP3CC; CYCS
