Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Salmonella infection	15/249	1.7341249083494677E-12	3.48559106578243E-10	0	0	14.83107088989442	401.63308523878493	JUN;CXCL8;TUBB;PIK3CD;TIRAP;RHOB;PYCARD;TUBA1A;ARPC3;TNFSF10;CYCS;PIK3C3;RIPK1;TLR5;MYD88
Toll-like receptor signaling pathway	11/104	4.218044989419247E-12	4.239135214366343E-10	0	0	26.32318472876646	689.4476246616272	JUN;CXCL8;TOLLIP;CCL4L2;CCL4;CCL3;PIK3CD;RIPK1;TLR5;TIRAP;MYD88
Pathogenic Escherichia coli infection	13/197	1.8536862566417598E-11	9.67045834686308E-10	0	0	16.011244377811096	395.65801946489916	JUN;CXCL8;TUBB;TIRAP;PYCARD;TUBA1A;ARPC3;TNFSF10;CYCS;RIPK1;EZR;TLR5;MYD88
Cellular senescence	12/156	1.9244693227588216E-11	9.67045834686308E-10	0	0	18.708333333333332	461.60540877460636	CDKN1A;CDK6;CXCL8;PPP3CC;VDAC2;PIK3CD;ITPR3;CALML4;PPID;KIR2DL4;GADD45G;TGFBR2
Human cytomegalovirus infection	13/225	9.798520181903282E-11	3.93900511312512E-9	0	0	13.876816308826719	319.80794855070684	CDKN1A;CXCL8;CCL4L2;PIK3CD;ITPR3;CALML4;VEGFA;CDK6;PPP3CC;CCL4;CCL3;CYCS;RIPK1
Kaposi sarcoma-associated herpesvirus infection	12/193	2.3160134996081749E-10	7.758645223687385E-9	0	0	14.856102461074837	329.5975418128125	JUN;CDKN1A;CDK6;CXCL8;PPP3CC;SYK;CYCS;PIK3CD;PIK3C3;ITPR3;CALML4;VEGFA
Lipid and atherosclerosis	12/215	8.017852233077259E-10	2.3022689983550416E-8	0	0	13.231303179579042	277.11879999630133	PYCARD;JUN;CXCL8;PPP3CC;TNFSF10;CCL3;CYCS;PIK3CD;CALML4;HSPA1B;TIRAP;MYD88
Shigellosis	12/246	3.7012058312464848E-9	9.299279651006793E-8	0	0	11.460372960372961	222.4986390479421	PYCARD;JUN;CXCL8;ARPC3;CYCS;PIK3CD;PIK3C3;ITPR3;RIPK1;TLR5;PPID;MYD88
Alzheimer disease	14/369	4.357242324029935E-9	9.731174523666854E-8	0	0	8.962659679004258	172.54398382347543	TUBB;PIK3CD;ITPR3;CALML4;PSEN1;PSMD6;APH1B;PPP3CC;TUBA1A;CYCS;VDAC2;PIK3C3;APOE;PPID
Epstein-Barr virus infection	11/202	5.491384365790796E-9	1.1037682575239501E-7	0	0	12.753632566621565	242.5751812388442	PSMD6;JUN;CDKN1A;CDK6;SYK;CYCS;PIK3CD;RIPK1;RUNX3;MYD88;GADD45G
Chagas disease	8/102	4.378260995248776E-8	8.000276909500037E-7	0	0	18.321924144310824	310.44721644543296	JUN;CXCL8;IFNG;PPP2R2B;CCL3;PIK3CD;MYD88;TGFBR2
NF-kappa B signaling pathway	8/104	5.100596622054119E-8	8.54349934194065E-7	0	0	17.93840579710145	301.20956990452106	CXCL8;SYK;CCL4L2;CCL4;RIPK1;TIRAP;MYD88;GADD45G
Influenza A	9/172	2.0294776140492868E-7	3.1378846186454357E-6	0	0	11.975527539944718	184.5466783153094	PYCARD;CDK6;CXCL8;NXT1;IFNG;TNFSF10;CYCS;PIK3CD;MYD88
NOD-like receptor signaling pathway	9/181	3.128668343805704E-7	4.4918738364639035E-6	0	0	11.34372604140046	169.90052277255137	PYCARD;JUN;CXCL8;AIM2;IFI16;VDAC2;ITPR3;RIPK1;MYD88
