,Term,Overlap,P-value,Genes
0,Salmonella infection,15/249,1.73e-12,JUN; CXCL8; TUBB; PIK3CD; TIRAP; RHOB; PYCARD; TUBA1A; ARPC3; TNFSF10; CYCS; PIK3C3; RIPK1; TLR5; MYD88
1,Toll-like receptor signaling pathway,11/104,4.22e-12,JUN; CXCL8; TOLLIP; CCL4L2; CCL4; CCL3; PIK3CD; RIPK1; TLR5; TIRAP; MYD88
2,Pathogenic Escherichia coli infection,13/197,1.85e-11,JUN; CXCL8; TUBB; TIRAP; PYCARD; TUBA1A; ARPC3; TNFSF10; CYCS; RIPK1; EZR; TLR5; MYD88
3,Cellular senescence,12/156,1.92e-11,CDKN1A; CDK6; CXCL8; PPP3CC; VDAC2; PIK3CD; ITPR3; CALML4; PPID; KIR2DL4; GADD45G; TGFBR2
4,Human cytomegalovirus infection,13/225,9.80e-11,CDKN1A; CXCL8; CCL4L2; PIK3CD; ITPR3; CALML4; VEGFA; CDK6; PPP3CC; CCL4; CCL3; CYCS; RIPK1
5,Kaposi sarcoma-associated herpesvirus infection,12/193,2.32e-10,JUN; CDKN1A; CDK6; CXCL8; PPP3CC; SYK; CYCS; PIK3CD; PIK3C3; ITPR3; CALML4; VEGFA
6,Lipid and atherosclerosis,12/215,8.02e-10,PYCARD; JUN; CXCL8; PPP3CC; TNFSF10; CCL3; CYCS; PIK3CD; CALML4; HSPA1B; TIRAP; MYD88
7,Shigellosis,12/246,3.70e-09,PYCARD; JUN; CXCL8; ARPC3; CYCS; PIK3CD; PIK3C3; ITPR3; RIPK1; TLR5; PPID; MYD88
8,Alzheimer disease,14/369,4.36e-09,TUBB; PIK3CD; ITPR3; CALML4; PSEN1; PSMD6; APH1B; PPP3CC; TUBA1A; CYCS; VDAC2; PIK3C3; APOE; PPID
9,Epstein-Barr virus infection,11/202,5.49e-09,PSMD6; JUN; CDKN1A; CDK6; SYK; CYCS; PIK3CD; RIPK1; RUNX3; MYD88; GADD45G
10,Chagas disease,8/102,4.38e-08,JUN; CXCL8; IFNG; PPP2R2B; CCL3; PIK3CD; MYD88; TGFBR2
11,NF-kappa B signaling pathway,8/104,5.10e-08,CXCL8; SYK; CCL4L2; CCL4; RIPK1; TIRAP; MYD88; GADD45G
12,Influenza A,9/172,2.03e-07,PYCARD; CDK6; CXCL8; NXT1; IFNG; TNFSF10; CYCS; PIK3CD; MYD88
13,NOD-like receptor signaling pathway,9/181,3.13e-07,PYCARD; JUN; CXCL8; AIM2; IFI16; VDAC2; ITPR3; RIPK1; MYD88
14,Legionellosis,6/57,3.96e-07,PYCARD; CXCL8; CYCS; TLR5; HSPA1B; MYD88
15,Apoptosis,8/142,5.69e-07,JUN; TUBA1A; TNFSF10; CYCS; PIK3CD; ITPR3; RIPK1; GADD45G
16,C-type lectin receptor signaling pathway,7/104,9.03e-07,PYCARD; JUN; PPP3CC; SYK; PIK3CD; ITPR3; CALML4
17,Hepatitis B,8/162,1.54e-06,JUN; CDKN1A; CXCL8; CYCS; PIK3CD; TIRAP; MYD88; TGFBR2
18,Pancreatic cancer,6/76,2.21e-06,CDKN1A; CDK6; PIK3CD; TGFBR2; VEGFA; GADD45G
19,Pertussis,6/76,2.21e-06,PYCARD; JUN; CXCL8; CALML4; TIRAP; MYD88
20,Tuberculosis,8/180,3.39e-06,PPP3CC; IFNG; SYK; CYCS; PIK3C3; CALML4; TIRAP; MYD88
21,Pathways of neurodegeneration,12/475,4.44e-06,PSMD6; PPP3CC; TUBA1A; TUBB; CYCS; VDAC2; PIK3C3; ITPR3; CALML4; PSEN1; PPID; UBE2J1
22,Colorectal cancer,6/86,4.57e-06,CDKN1A; JUN; PIK3CD; CYCS; TGFBR2; GADD45G
23,PD-L1 expression and PD-1 checkpoint pathway in cancer,6/89,5.58e-06,JUN; PPP3CC; IFNG; PIK3CD; TIRAP; MYD88
24,Th1 and Th2 cell differentiation,6/92,6.77e-06,JUN; PPP3CC; IFNG; TBX21; RUNX3; IL12RB2
25,Rheumatoid arthritis,6/93,7.20e-06,JUN; CXCL8; IFNG; CCL3; ATP6V1E2; VEGFA
26,Prion disease,9/273,9.28e-06,PSMD6; PPP3CC; TUBA1A; TUBB; CYCS; VDAC2; PIK3CD; ITPR3; HSPA1B
27,Human immunodeficiency virus 1 infection,8/212,1.13e-05,JUN; PPP3CC; CYCS; PIK3CD; ITPR3; RIPK1; CALML4; MYD88
28,Pathways in cancer,12/531,1.36e-05,JUN; CDKN1A; CDK6; CXCL8; IFNG; CYCS; PIK3CD; CALML4; IL12RB2; GADD45G; TGFBR2; VEGFA
29,Hepatitis C,7/157,1.40e-05,CDKN1A; CDK6; IFNG; PPP2R2B; CYCS; PIK3CD; RIPK1
30,Cytosolic DNA-sensing pathway,5/63,1.58e-05,PYCARD; AIM2; CCL4L2; CCL4; RIPK1
31,MAPK signaling pathway,9/294,1.67e-05,JUN; DUSP2; DUSP10; PPP3CC; HSPA1B; MYD88; GADD45G; TGFBR2; VEGFA
32,Cytokine-cytokine receptor interaction,9/295,1.72e-05,CXCL8; IFNG; CCL4L2; CCL4; TNFSF10; CCL3; TNFSF9; IL12RB2; TGFBR2
33,Inflammatory bowel disease,5/65,1.84e-05,JUN; IFNG; TBX21; TLR5; IL12RB2
34,p53 signaling pathway,5/73,3.24e-05,CDKN1A; CDK6; CYCS; GTSE1; GADD45G
35,Parkinson disease,8/249,3.58e-05,PSMD6; TUBA1A; TUBB; CYCS; VDAC2; ITPR3; CALML4; UBE2J1
36,Glioma,5/75,3.70e-05,CDKN1A; CDK6; PIK3CD; CALML4; GADD45G
37,Chronic myeloid leukemia,5/76,3.94e-05,CDKN1A; CDK6; PIK3CD; TGFBR2; GADD45G
38,Osteoclast differentiation,6/127,4.26e-05,JUN; PPP3CC; IFNG; SYK; PIK3CD; TGFBR2
39,Natural killer cell mediated cytotoxicity,6/131,5.07e-05,PPP3CC; IFNG; SYK; TNFSF10; PIK3CD; KIR2DL3
40,Yersinia infection,6/137,6.51e-05,PYCARD; JUN; CXCL8; ARPC3; PIK3CD; MYD88
41,Measles,6/139,7.05e-05,JUN; CDK6; CYCS; PIK3CD; HSPA1B; MYD88
42,Spinocerebellar ataxia,6/143,8.26e-05,PSMD6; CYCS; VDAC2; PIK3CD; PIK3C3; ITPR3
43,Small cell lung cancer,5/92,9.85e-05,CDKN1A; CDK6; PIK3CD; CYCS; GADD45G
44,Oxytocin signaling pathway,6/154,1.24e-04,JUN; CDKN1A; PPP3CC; ITPR3; CALML4; KCNJ2
45,AGE-RAGE signaling pathway in diabetic complications,5/100,1.46e-04,JUN; CXCL8; PIK3CD; TGFBR2; VEGFA
46,Viral protein interaction with cytokine and cytokine receptor,5/100,1.46e-04,CXCL8; CCL4L2; CCL4; TNFSF10; CCL3
47,Necroptosis,6/159,1.48e-04,PYCARD; IFNG; TNFSF10; VDAC2; RIPK1; PPID
48,Th17 cell differentiation,5/107,2.01e-04,JUN; PPP3CC; IFNG; TBX21; TGFBR2
49,Renal cell carcinoma,4/69,3.96e-04,CDKN1A; JUN; PIK3CD; VEGFA
50,Renin secretion,4/69,3.96e-04,PPP3CC; ITPR3; CALML4; KCNJ2
51,Melanoma,4/72,4.66e-04,CDKN1A; CDK6; PIK3CD; GADD45G
52,Non-small cell lung cancer,4/72,4.66e-04,CDKN1A; CDK6; PIK3CD; GADD45G
53,Amyotrophic lateral sclerosis,8/364,4.84e-04,PSMD6; PPP3CC; NXT1; TUBA1A; TUBB; CYCS; PIK3C3; ITPR3
