Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interleukin-2 signaling pathway	24/847	3.0101111232303794E-12	9.263368053496023E-10	0	0	7.319946281255995	194.191177850244	DUSP4;DUSP5;JUN;CXCL8;SERPINE1;PRF1;GZMB;KIR2DL1;PRSS23;GADD45G;VEGFA;TPST1;DUSP10;IFNG;PLAU;GNLY;BHLHE40;CCL4;IL2RB;TNFSF10;CCL3;PMAIP1;XCL1;IL12RB2
Cytokine-cytokine receptor interaction	15/265	4.249251400686249E-12	9.263368053496023E-10	0	0	13.870588235294118	363.1913423923093	CXCL8;CCL4L2;IL1R2;CCL3L3;VEGFA;IFNG;LEP;CCL4;IL2RB;TNFSF10;XCL2;CCL3;TNFSF9;XCL1;IL12RB2
Interleukin-12-mediated signaling events	9/65	3.4297640289453976E-11	4.9845903887339785E-9	0	0	35.04631083202512	844.4739628532378	IFNG;CD8A;CCL4L2;TBX21;IL2RB;CCL3;GZMB;IL12RB2;GADD45G
Graft-versus-host disease	7/41	1.2346549238306154E-9	1.3457738669753708E-7	0	0	43.979127134724855	902.120715958797	IFNG;PRF1;GZMB;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3
Interleukin-1 regulation of extracellular matrix	9/120	8.952102655248416E-9	7.80623351537662E-7	0	0	17.632016632016633	326.74555450814194	JUN;CXCL8;IFNG;IL1R2;CCL4;SPP1;PTGS2;RHOB;HBEGF
Natural killer cell-mediated cytotoxicity	9/137	2.8601717061453064E-8	2.0783914397989226E-6	0	0	15.27712912087912	265.3606634070782	IFNG;PRF1;TNFSF10;SH2D1B;GZMB;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3
CD8/T cell receptor downstream pathway	7/68	4.769661183287383E-8	2.9708175370189985E-6	0	0	24.479640401903755	412.6877037121807	EGR1;JUN;IFNG;CD8A;IL2RB;PRF1;GZMB
Leptin influence on immune response	8/110	7.916248160304098E-8	3.840649993546926E-6	0	0	16.878090366581414	275.98653976959974	IFNG;PTAFR;CCL4;PRF1;TNFSF10;TLR8;XCL1;VEGFA
Gastrin pathway	6/44	8.125995834190388E-8	3.840649993546926E-6	0	0	33.36282194848824	544.6685016709359	JUN;CXCL8;SERPINE1;PTGS2;VEGFA;HBEGF
Immune system	20/998	9.089634581404333E-8	3.840649993546926E-6	0	0	4.836912065439673	78.42349644816892	DUSP4;EGR1;JUN;VCAM1;IL1R2;DEFA4;PTAFR;DEFA3;KIR3DL1;KIR2DL1;NLRC4;KIR3DL2;KIR2DL3;AIM2;IFNG;CD8A;IL2RB;TLR8;NCAM1;TLR5
Interleukin-4 regulation of apoptosis	11/267	9.689713286471604E-8	3.840649993546926E-6	0	0	9.484023876404494	153.16334285757367	SLC22A4;JUN;VCAM1;CXCL8;ALOX15;TNFSF10;SPP1;XCL1;GZMB;PTGS2;FKBP5
Regulation of NFAT transcription factors	6/47	1.2211998420511946E-7	4.437026092786008E-6	0	0	30.916969382459783	492.14441264369196	EGR1;JUN;CXCL8;IFNG;TBX21;PTGS2
Antigen processing and presentation	7/81	1.6226053397495962E-7	5.441968677929415E-6	0	0	20.16594013368207	315.2755696135512	IFNG;CD8A;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3;HSPA1B
TWEAK regulation of gene expression	5/27	2.0896853791297667E-7	6.507877323575559E-6	0	0	47.55502392344498	731.4477287849724	CXCL8;VCAM1;SERPINE1;CCL3;SPP1
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	8/135	3.863287070494008E-7	1.122928775156925E-5	0	0	13.538514207463198	199.91751599216488	CD83;VCAM1;CXCL8;IL1R2;CCL4;TNFSF10;PMAIP1;HBEGF
ATF2 transcription factor network	6/59	4.882630651005325E-7	1.3305168523989513E-5	0	0	23.90244881573665	347.3602222513627	DUSP5;JUN;CXCL8;DUSP10;IFNG;PLAU
Interleukin-5 regulation of apoptosis	8/144	6.324526964344878E-7	1.62205515085551E-5	0	0	12.636828644501279	180.3738006979567	DUSP4;EGR1;DUSP5;CXCL8;PTAFR;CCL3;PTGS2;HBEGF
BDNF signaling pathway	10/261	7.446110428757719E-7	1.8036134149657584E-5	0	0	8.69809650287738	122.73365433840794	DUSP4;EGR1;DUSP5;JUN;SERPINE1;SPP1;PTGS2;HSPA1B;RHOB;VEGFA
T cell receptor regulation of apoptosis	14/603	1.7932473449925202E-6	4.115030749561783E-5	0	0	5.337268527658231	70.61997470785742	EGR1;DUSP5;JUN;CD83;CXCL8;CCL4L2;GZMB;IFNG;CCL4;CCL3;PMAIP1;TLR8;XCL1;LTF
Interleukin-12/STAT4 pathway	5/45	2.94511800616161E-6	6.42035725343231E-5	0	0	26.13157894736842	332.79510894626173	JUN;IFNG;TBX21;PRF1;IL12RB2
Regular glucocorticoid receptor pathway	6/82	3.4589501088805235E-6	7.181439273675754E-5	0	0	16.6494960806271	209.35984521342374	EGR1;JUN;CXCL8;IFNG;TBX21;FKBP5
p53 signaling pathway	7/139	6.288249247376183E-6	1.2462166690254618E-4	0	0	11.27207559465624	135.00370907897613	DUSP5;JUN;SERPINE1;SPP1;PMAIP1;NLRC4;HSPA1B
Dissolution of fibrin clot	3/8	6.669353467633975E-6	1.264277439951484E-4	0	0	123.0618556701031	1466.6496741086537	PLAU;SERPINE1;HRG
Toll-like receptor signaling pathway regulation	7/142	7.2373435103318995E-6	1.2830507165605164E-4	0	0	11.019912385503783	130.4345078100727	JUN;CXCL8;CCL4;CCL3;SPP1;TLR8;TLR5
Binding of chemokines to chemokine receptors	5/54	7.356942182113052E-6	1.2830507165605164E-4	0	0	21.322234156820624	252.0259543056669	CXCL8;CCL4;XCL2;CCL3;XCL1
Selective expression of chemokine receptors during T-cell polarization	4/26	8.082295562387204E-6	1.355338794308008E-4	0	0	37.64772727272727	441.4510238762915	IFNG;CCL4;CCL3;IL12RB2
TSH regulation of gene expression	6/97	9.189763692055229E-6	1.4839766554578074E-4	0	0	13.894552256254384	161.1409628896717	EGR1;JUN;DUSP2;CXCL8;PTGS2;VEGFA
Chagas disease	6/104	1.3719681957197439E-5	2.1363504761921727E-4	0	0	12.897524967433782	144.40944846252998	JUN;CXCL8;IFNG;CCL3L3;SERPINE1;CCL3
HIF-1 transcriptional activity in hypoxia	5/66	1.9827432166663002E-5	2.9809518705741617E-4	0	0	17.117342536669543	185.35418707565327	JUN;LEP;SERPINE1;BHLHE40;VEGFA
D4-GDI signaling pathway	3/12	2.5822694403897266E-5	3.717390076636871E-4	0	0	68.35395189003437	722.1087027443646	JUN;PRF1;GZMB
AP-1 transcription factor network	5/70	2.6430984489849316E-5	3.717390076636871E-4	0	0	16.060728744939272	169.2957173934253	EGR1;JUN;CXCL8;IFNG;PLAU
Immunoregulatory interactions between a lymphoid and a non-lymphoid cell	6/119	2.954030203148467E-5	4.0248661517897864E-4	0	0	11.176991150442477	116.57327996690708	VCAM1;CD8A;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3
RANKL regulation of apoptosis and immune response	5/74	3.462786095496357E-5	4.575074962534581E-4	0	0	15.126620900076277	155.36328407117355	EGR1;JUN;VCAM1;BAG3;CCL3
