,Term,Overlap,Adjusted P-value,Genes
1,Interleukin-2 signaling pathway,24/847,9.26e-10,DUSP4; DUSP5; JUN; CXCL8; SERPINE1; PRF1; GZMB; KIR2DL1; PRSS23; GADD45G; VEGFA; TPST1; DUSP10; IFNG; PLAU; GNLY; BHLHE40; CCL4; IL2RB; TNFSF10; CCL3; PMAIP1; XCL1; IL12RB2
2,Cytokine-cytokine receptor interaction,15/265,9.26e-10,CXCL8; CCL4L2; IL1R2; CCL3L3; VEGFA; IFNG; LEP; CCL4; IL2RB; TNFSF10; XCL2; CCL3; TNFSF9; XCL1; IL12RB2
3,Interleukin-12-mediated signaling events,9/65,4.98e-09,IFNG; CD8A; CCL4L2; TBX21; IL2RB; CCL3; GZMB; IL12RB2; GADD45G
4,Graft-versus-host disease,7/41,1.35e-07,IFNG; PRF1; GZMB; KIR3DL1; KIR2DL1; KIR3DL2; KIR2DL3
5,Interleukin-1 regulation of extracellular matrix,9/120,7.81e-07,JUN; CXCL8; IFNG; IL1R2; CCL4; SPP1; PTGS2; RHOB; HBEGF
6,Natural killer cell-mediated cytotoxicity,9/137,2.08e-06,IFNG; PRF1; TNFSF10; SH2D1B; GZMB; KIR3DL1; KIR2DL1; KIR3DL2; KIR2DL3
7,CD8/T cell receptor downstream pathway,7/68,2.97e-06,EGR1; JUN; IFNG; CD8A; IL2RB; PRF1; GZMB
8,Leptin influence on immune response,8/110,3.84e-06,IFNG; PTAFR; CCL4; PRF1; TNFSF10; TLR8; XCL1; VEGFA
9,Gastrin pathway,6/44,3.84e-06,JUN; CXCL8; SERPINE1; PTGS2; VEGFA; HBEGF
10,Immune system,20/998,3.84e-06,DUSP4; EGR1; JUN; VCAM1; IL1R2; DEFA4; PTAFR; DEFA3; KIR3DL1; KIR2DL1; NLRC4; KIR3DL2; KIR2DL3; AIM2; IFNG; CD8A; IL2RB; TLR8; NCAM1; TLR5
11,Interleukin-4 regulation of apoptosis,11/267,3.84e-06,SLC22A4; JUN; VCAM1; CXCL8; ALOX15; TNFSF10; SPP1; XCL1; GZMB; PTGS2; FKBP5
12,Regulation of NFAT transcription factors,6/47,4.44e-06,EGR1; JUN; CXCL8; IFNG; TBX21; PTGS2
13,Antigen processing and presentation,7/81,5.44e-06,IFNG; CD8A; KIR3DL1; KIR2DL1; KIR3DL2; KIR2DL3; HSPA1B
14,TWEAK regulation of gene expression,5/27,6.51e-06,CXCL8; VCAM1; SERPINE1; CCL3; SPP1
15,"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",8/135,1.12e-05,CD83; VCAM1; CXCL8; IL1R2; CCL4; TNFSF10; PMAIP1; HBEGF
16,ATF2 transcription factor network,6/59,1.33e-05,DUSP5; JUN; CXCL8; DUSP10; IFNG; PLAU
17,Interleukin-5 regulation of apoptosis,8/144,1.62e-05,DUSP4; EGR1; DUSP5; CXCL8; PTAFR; CCL3; PTGS2; HBEGF
18,BDNF signaling pathway,10/261,1.80e-05,DUSP4; EGR1; DUSP5; JUN; SERPINE1; SPP1; PTGS2; HSPA1B; RHOB; VEGFA
19,T cell receptor regulation of apoptosis,14/603,4.12e-05,EGR1; DUSP5; JUN; CD83; CXCL8; CCL4L2; GZMB; IFNG; CCL4; CCL3; PMAIP1; TLR8; XCL1; LTF
20,Interleukin-12/STAT4 pathway,5/45,6.42e-05,JUN; IFNG; TBX21; PRF1; IL12RB2
21,Regular glucocorticoid receptor pathway,6/82,7.18e-05,EGR1; JUN; CXCL8; IFNG; TBX21; FKBP5
22,p53 signaling pathway,7/139,1.25e-04,DUSP5; JUN; SERPINE1; SPP1; PMAIP1; NLRC4; HSPA1B
23,Dissolution of fibrin clot,3/8,1.26e-04,PLAU; SERPINE1; HRG
24,Toll-like receptor signaling pathway regulation,7/142,1.28e-04,JUN; CXCL8; CCL4; CCL3; SPP1; TLR8; TLR5
25,Binding of chemokines to chemokine receptors,5/54,1.28e-04,CXCL8; CCL4; XCL2; CCL3; XCL1
26,Selective expression of chemokine receptors during T-cell polarization,4/26,1.36e-04,IFNG; CCL4; CCL3; IL12RB2
27,TSH regulation of gene expression,6/97,1.48e-04,EGR1; JUN; DUSP2; CXCL8; PTGS2; VEGFA
28,Chagas disease,6/104,2.14e-04,JUN; CXCL8; IFNG; CCL3L3; SERPINE1; CCL3
29,HIF-1 transcriptional activity in hypoxia,5/66,2.98e-04,JUN; LEP; SERPINE1; BHLHE40; VEGFA
30,D4-GDI signaling pathway,3/12,3.72e-04,JUN; PRF1; GZMB
31,AP-1 transcription factor network,5/70,3.72e-04,EGR1; JUN; CXCL8; IFNG; PLAU
32,Immunoregulatory interactions between a lymphoid and a non-lymphoid cell,6/119,4.02e-04,VCAM1; CD8A; KIR3DL1; KIR2DL1; KIR3DL2; KIR2DL3
33,RANKL regulation of apoptosis and immune response,5/74,4.58e-04,EGR1; JUN; VCAM1; BAG3; CCL3
34,Chemokine signaling pathway,7/189,5.89e-04,CXCL8; CCL4L2; CCL3L3; CCL4; XCL2; CCL3; XCL1
35,Apoptosis modulation and signaling,5/80,6.29e-04,JUN; BAG3; IL1R2; TNFSF10; PMAIP1
36,FSH regulation of apoptosis,8/263,6.38e-04,ZNF331; TUBA1A; GNLY; PMAIP1; APOE; EREG; RHOB; VEGFA
37,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,4/42,6.71e-04,PLAU; SERPINE1; CTSG; ELANE
38,EGFR1 pathway,6/152,1.33e-03,DUSP4; PLAU; SPP1; EREG; HBEGF; VEGFA
39,Malaria,4/51,1.37e-03,CXCL8; VCAM1; IFNG; KLRB1
40,4-1BB-dependent immune response,3/20,1.38e-03,JUN; IFNG; TNFSF9
41,Hypertrophy pathway,3/20,1.38e-03,IFNG; VEGFA; HBEGF
42,Senescence and autophagy,5/99,1.45e-03,JUN; CXCL8; IFNG; SERPINE1; CCL3
43,MAPK signaling pathway,8/314,1.82e-03,DUSP4; DUSP5; JUN; DUSP2; DUSP10; IL1R2; HSPA1B; GADD45G
44,Innate immune system,8/319,1.98e-03,DUSP4; JUN; AIM2; DEFA4; DEFA3; TLR8; NLRC4; TLR5
45,RAGE pathway,4/60,2.19e-03,CXCL8; VCAM1; SERPINE1; VEGFA
46,Selenium pathway,4/60,2.19e-03,IFNG; SERPINE1; PTGS2; ALOX15B
47,FGF signaling pathway,4/61,2.29e-03,JUN; PLAU; SPP1; NCAM1
48,Alpha-9 beta-1 integrin pathway,3/25,2.34e-03,VCAM1; SPP1; VEGFA
49,Fibroblast growth factor 1,3/26,2.53e-03,PLAU; SERPINE1; VEGFA
50,Interleukin-27-mediated signaling events,3/26,2.53e-03,IFNG; TBX21; IL12RB2
51,Endochondral ossification,4/66,2.76e-03,PLAU; SPP1; RUNX3; VEGFA
52,TGF-beta signaling pathway,6/185,2.76e-03,TGFBR3; JUN; IFNG; SERPINE1; SPP1; RUNX3
53,Beta-1 integrin cell surface interactions,4/66,2.76e-03,VCAM1; PLAU; SPP1; VEGFA
54,Statin pathway,3/29,3.20e-03,APOC1; APOA2; APOE
55,T cell receptor calcium pathway,3/29,3.20e-03,JUN; IFNG; PTGS2
56,Activation of matrix metalloproteinases,3/30,3.48e-03,MMP25; CTSG; ELANE
57,Alpha-V beta-3 integrin/OPN pathway,3/31,3.77e-03,JUN; PLAU; SPP1
58,"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",7/280,3.88e-03,EGR1; VCAM1; IFNG; IL1R2; PTAFR; IL2RB; NCAM1
59,HIF-2-alpha transcription factor network,3/34,4.79e-03,SERPINE1; BHLHE40; VEGFA
