Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Senescence and autophagy	13/99	2.3672230191703744E-15	1.3351137828120911E-12	0	0	34.42689120556001	1159.3964411052152	JUN;CDKN1A;CXCL8;SERPINB2;CDKN2A;SERPINE1;IL24;MAPK14;THBS1;GABARAP;IFNG;IFI16;CCL3
Interleukin-2 signaling pathway	24/847	3.0101111232303794E-12	8.48851336750967E-10	0	0	7.319946281255995	194.191177850244	CX3CR1;FCGBP;JUN;CXCL8;SERPINE1;IL24;ARAP2;NKG7;FURIN;KIR2DL1;MAPK14;PRSS23;NELL2;LDHB;ABLIM1;IFNG;PLAU;PPP2R2B;CCL3;FLNB;JAK3;LDLR;GBP1;BIRC3
Gastrin pathway	7/44	2.078922419697571E-9	3.9083741490314334E-7	0	0	40.40714908456844	807.7961325798182	JUN;CXCL8;SERPINB2;CDKN2A;SERPINE1;HBEGF;BIRC3
T cell receptor regulation of apoptosis	16/603	4.929783563317022E-8	5.753472989677046E-6	0	0	6.266893810335037	105.44290524179391	EGR1;JUN;CDKN1A;CXCL8;SERPINE2;CDKN2A;RHOC;MAPK14;CLK1;PNP;IFNG;IFI16;CCL3;MYBL2;GBP1;BIRC3
Chagas disease	8/104	5.100596622054119E-8	5.753472989677046E-6	0	0	17.93840579710145	301.20956990452106	JUN;CXCL8;IFNG;PPP2R2B;CCL3L3;SERPINE1;CCL3;MAPK14
EGFR1 pathway	9/152	7.038520192908701E-8	6.616208981334179E-6	0	0	13.664258818104972	225.04054266966995	CLK1;SELENBP1;CDKN1A;PNP;MME;PLAU;IGFBP3;MYBL2;HBEGF
p53 activity regulation	8/118	1.3678877000889878E-7	1.1021266612145559E-5	0	0	15.644268774703557	247.25497600768207	CDKN1A;CDKN2A;IGFBP3;SERPINE1;SESN2;SIAH1;MAPK14;THBS1
AP-1 transcription factor network	6/70	1.3592722795173588E-6	9.582869570597379E-5	0	0	19.783244680851062	267.24316933003996	EGR1;JUN;CXCL8;IFNG;PLAU;CDKN2A
E2F transcription factor network	6/74	1.8898091670928132E-6	1.1703316590897131E-4	0	0	18.615769712140175	245.33787507392182	CDKN1A;PLAU;CDKN2A;SERPINE1;MYBL2;WASF1
Bladder cancer	5/42	2.0750561331377892E-6	1.1703316590897131E-4	0	0	28.25462304409673	369.7265014059194	CDKN1A;CXCL8;CDKN2A;DAPK2;THBS1
ID regulation of gene expression	4/20	2.680321068927162E-6	1.374273711704472E-4	0	0	51.78125	664.3313770708211	CDKN1A;CXCL8;CDKN2A;THBS1
Regular glucocorticoid receptor pathway	6/82	3.4589501088805235E-6	1.625706551173846E-4	0	0	16.6494960806271	209.35984521342374	EGR1;CDKN1A;JUN;CXCL8;IFNG;MAPK14
TSP1-induced apoptosis in microvascular endothelial cell	3/8	6.669353467633975E-6	2.686796682675401E-4	0	0	123.0618556701031	1466.6496741086537	JUN;MAPK14;THBS1
Dissolution of fibrin clot	3/8	6.669353467633975E-6	2.686796682675401E-4	0	0	123.0618556701031	1466.6496741086537	SERPINB2;PLAU;SERPINE1
Fibroblast growth factor 1	4/26	8.082295562387204E-6	3.012116672371257E-4	0	0	37.64772727272727	441.4510238762915	CDKN1A;SERPINB2;PLAU;SERPINE1
Immune system	17/998	8.545011836514205E-6	3.012116672371257E-4	0	0	3.9500264053154512	46.09745143632157	EGR1;JUN;CDKN1A;GBP7;UBE2L6;KIR2DL1;MAPK14;KIR2DL3;KIR2DL4;AIM2;IFNG;FLNB;TLR5;FCGR1A;JAK3;GBP1;BIRC3
ATF2 transcription factor network	5/59	1.1418514477399644E-5	3.788260097207882E-4	0	0	19.34307992202729	220.1295580852784	JUN;CXCL8;IFNG;PLAU;MAPK14
CD40/CD40L signaling	4/31	1.6687556029356314E-5	5.228767555864978E-4	0	0	30.66820987654321	337.37629271966244	JUN;MAPK14;JAK3;BIRC3
HIF-1 transcriptional activity in hypoxia	5/66	1.9827432166663002E-5	5.885616706314702E-4	0	0	17.117342536669543	185.35418707565327	NT5E;JUN;SERPINE1;SLC2A1;FURIN
Interferon signaling	7/168	2.163096257213536E-5	6.099931445342171E-4	0	0	9.228143992519868	99.12304577285857	EGR1;GBP7;IFNG;UBE2L6;FLNB;FCGR1A;GBP1
Oncostatin M	9/311	2.608456840185267E-5	7.005569799354717E-4	0	0	6.418091841932902	67.73761098684693	SELENBP1;JUN;CDKN1A;CXCL8;SERPINB2;PLAU;SERPINE1;LDLR;TGM2
Interleukin-1 regulation of extracellular matrix	6/120	3.097040197124892E-5	7.939684868992905E-4	0	0	11.078387458006718	115.0211205356334	JUN;CXCL8;SERPINB2;IFNG;BIRC3;HBEGF
FRA pathway	4/37	3.423076487553643E-5	8.393978865131542E-4	0	0	25.08459595959596	257.92949230262207	JUN;CXCL8;PLAU;CDKN2A
Pathways in cancer	9/325	3.679152637528889E-5	8.64600869819289E-4	0	0	6.129364306579497	62.5822990108807	JUN;CDKN1A;CDKN2B;CXCL8;FLT3;CDKN2A;DAPK2;SLC2A1;BIRC3
BDNF signaling pathway	8/261	4.992797390274785E-5	0.0010791879451243283	0	0	6.752706650627256	66.88508069555189	EGR1;CHRNA3;JUN;CDKN1A;ABLIM1;IGFBP3;SERPINE1;HSPA1B
FSH regulation of apoptosis	8/263	5.2683910033223715E-5	0.0010791879451243283	0	0	6.699062233589088	65.99380496712891	CX3CR1;ABLIM1;IGFBP3;APOE;MAPK14;THBS1;LDLR;GBP1
Fibrinolysis pathway	3/15	5.2826809188518965E-5	0.0010791879451243283	0	0	51.25773195876289	504.8113501315131	SERPINB2;PLAU;SERPINE1
Antigen processing and presentation	5/81	5.3576706495534035E-5	0.0010791879451243283	0	0	13.728531855955678	135.0118210305148	IFNG;KIR2DL1;KIR2DL3;KIR2DL4;HSPA1B
Interleukin-4 regulation of apoptosis	8/267	5.857743558407424E-5	0.0011392301265316506	0	0	6.5942588551284205	64.26211417819931	SLC22A4;JUN;CDKN1A;CXCL8;LRRN3;IFI16;NKG7;UBE2L6
Chylomicron-mediated lipid transport	3/17	7.837829876798801E-5	0.0014735120168381747	0	0	43.930780559646536	415.3199946350019	APOE;LDLRAP1;LDLR
Immune system signaling by interferons, interleukins, prolactin, and growth hormones	8/280	8.165718166311503E-5	0.001485633885741835	0	0	6.274936061381074	59.06585257748565	EGR1;GBP7;IFNG;UBE2L6;FLNB;FCGR1A;JAK3;GBP1
Interleukin-5 regulation of apoptosis	6/144	8.580293270186533E-5	0.0015122766888703764	0	0	9.140610545790935	85.58771719390064	EGR1;CXCL8;CCL3;MAPK14;BIRC3;HBEGF
Regulation of NFAT transcription factors	4/47	8.897220675498297E-5	0.0015206158972669815	0	0	19.24127906976744	179.46699877969036	EGR1;JUN;CXCL8;IFNG
TSH regulation of gene expression	5/97	1.2652505731123543E-4	0.0020243535646470457	0	0	11.331807780320366	101.70377018417237	EGR1;JUN;DUSP2;CXCL8;LRRN3
4-1BB-dependent immune response	3/20	1.2997496316054035E-4	0.0020243535646470457	0	0	36.1728320194057	323.6806038860264	JUN;IFNG;MAPK14
Vitamin B12 metabolism	4/52	1.324843517277032E-4	0.0020243535646470457	0	0	17.23263888888889	153.8710256794273	IFNG;SERPINE1;APOE;LDLR
Wnt signaling pathway and pluripotency	5/98	1.328033366878381E-4	0.0020243535646470457	0	0	11.209394453876627	100.06224230943795	JUN;PLAU;PPP2R2B;PRKCZ;LDLR
Pyrimidine metabolism	5/100	1.460736125883001E-4	0.0021680399342052965	0	0	10.97229916897507	96.9007614271628	NT5E;PNP;POLR1D;CMPK2;DCK
Wnt signaling pathway	7/231	1.611838730962225E-4	0.0023264680974314257	0	0	6.611559139784946	57.73851308035646	JUN;PLAU;PPP2R2B;SIAH1;KREMEN1;PRKCZ;LDLR
TAp63 pathway	4/55	1.649977374064841E-4	0.0023264680974314257	0	0	16.216503267973856	141.2389130217239	CDKN1A;CDKN2A;IGFBP3;MFGE8
Blood clotting cascade	3/23	1.9973029138903675E-4	0.002619718240544575	0	0	30.742268041237114	261.8793213001886	SERPINB2;PLAU;SERPINE1
Signaling events mediated by PRL	3/23	1.9973029138903675E-4	0.002619718240544575	0	0	30.742268041237114	261.8793213001886	EGR1;CDKN1A;RHOC
Cyclins and cell cycle regulation	3/23	1.9973029138903675E-4	0.002619718240544575	0	0	30.742268041237114	261.8793213001886	CDKN1A;CDKN2B;CDKN2A
RAGE pathway	4/60	2.3144518216262018E-4	0.002966706425902677	0	0	14.764880952380953	123.59929166727188	CXCL8;SERPINE1;MFGE8;LDLR
Epidermal growth factor receptor (EGFR) pathway	5/111	2.3812880675793866E-4	0.0029845477113661645	0	0	9.828202581926515	81.99373414021885	JUN;CDKN2A;RHOC;MAPK14;PRKCZ
Folate metabolism	4/63	2.79497344115111E-4	0.0034268804800200565	0	0	14.012005649717514	114.65348518972715	IFNG;SERPINE1;FOLR3;LDLR
TWEAK regulation of gene expression	3/27	3.251243529193447E-4	0.003780655462506138	0	0	25.61340206185567	205.70898832313847	CXCL8;SERPINE1;CCL3
Retinoblastoma protein regulation	4/66	3.3432311010974254E-4	0.003780655462506138	0	0	13.331989247311828	106.70127789939	CDKN1A;JUN;CDKN2A;MAPK14
Signaling by TGF-beta receptor complex	4/66	3.3432311010974254E-4	0.003780655462506138	0	0	13.331989247311828	106.70127789939	CDKN2B;SERPINE1;FURIN;PRKCZ
TGF-beta signaling pathway	6/185	3.3516449135692714E-4	0.003780655462506138	0	0	7.032330916438845	56.264899971539016	TGFBR3;JUN;IFNG;SERPINE1;MAPK14;THBS1
Cell cycle: G1/S checkpoint	3/28	3.6282137198050867E-4	0.003923654402852464	0	0	24.587628865979383	194.773359177925	CDKN1A;CDKN2B;CDKN2A
Cytokine-cytokine receptor interaction	7/265	3.7162002788421867E-4	0.003923654402852464	0	0	5.730349253980162	45.25622778133332	CX3CR1;CXCL8;IFNG;FLT3;CCL3L3;IL24;CCL3
Epithelial cell signaling in Helicobacter pylori infection	4/68	3.7489829307749893E-4	0.003923654402852464	0	0	12.9140625	101.87717668990722	JUN;CXCL8;MAPK14;HBEGF
Chemokine signaling pathway	6/189	3.756690385709805E-4	0.003923654402852464	0	0	6.877223578653645	54.23930080358255	CX3CR1;CXCL8;CCL3L3;CCL3;PRKCZ;JAK3
Lipoprotein metabolism	3/29	4.032210189685461E-4	0.00413484826724109	0	0	23.640761300555116	184.7767981808264	APOE;LDLRAP1;LDLR
Interleukin-1 signaling pathway	5/125	4.1241552456101665E-4	0.004153613497364525	0	0	8.675438596491228	67.61184992387277	JUN;CXCL8;UBE2L6;MAPK14;PRKCZ
Leishmaniasis	4/72	4.6642383261609493E-4	0.004615141080622413	0	0	12.151960784313726	93.21059230650977	JUN;IFNG;FCGR1A;MAPK14
Endocytosis	6/201	5.205446373892402E-4	0.005061847853233301	0	0	6.4500818330605565	48.76671391108642	ARAP2;FOLR3;LDLRAP1;PRKCZ;LDLR;HSPA1B
Interleukin-7 interactions in immune response	3/34	6.484839479590657E-4	0.006199066892354458	0	0	19.822746923844363	145.51627376631131	JUN;CXCL8;IL24
p53 signaling pathway	5/139	6.692051180227493E-4	0.0062905281094138435	0	0	7.763550667714061	56.7470520628467	JUN;CDKN1A;IGFBP3;SERPINE1;HSPA1B
EGF/EGFR signaling pathway	5/141	7.138788699840719E-4	0.00660045381427896	0	0	7.648606811145511	55.41260566743268	ATXN2;JUN;MYBL2;MAPK14;PRKCZ
Toll-like receptor signaling pathway regulation	5/142	7.370346891140768E-4	0.006704638139682893	0	0	7.592393392239724	54.762989036023214	JUN;CXCL8;CCL3;TLR5;MAPK14
ATM-dependent DNA damage response	4/82	7.633074945828872E-4	0.006726647296011693	0	0	10.588675213675213	76.00391815281573	CDKN1A;JUN;PLAU;LDLR
SMAD2/3 nuclear pathway	4/82	7.633074945828872E-4	0.006726647296011693	0	0	10.588675213675213	76.00391815281573	CDKN1A;JUN;CDKN2B;SERPINE1
MAP kinase pathway regulation through dual specificity phosphatases	2/9	8.70867194754317E-4	0.007465267727579203	0	0	57.99708454810496	408.64867956136595	DUSP2;MAPK14
NOD signaling pathway	4/85	8.735951596103323E-4	0.007465267727579203	0	0	10.194958847736626	71.80200933754972	CXCL8;AIM2;MAPK14;BIRC3
Cyclin D-associated events in G1	3/38	9.010656627178086E-4	0.007585090056311106	0	0	17.55375552282769	123.08574753825549	CDKN1A;CDKN2B;CDKN2A
Activation of the AP-1 family of transcription factors	2/10	0.0010850384206118583	0.008869009698914321	0	0	50.744897959183675	346.39177176286466	JUN;MAPK14
Purine catabolism	2/10	0.0010850384206118583	0.008869009698914321	0	0	50.744897959183675	346.39177176286466	NT5E;PNP
Graft-versus-host disease	3/41	0.0011263274602029934	0.009074981250778404	0	0	16.16549104720564	109.74417204757295	IFNG;KIR2DL1;KIR2DL3
Netrin-1 signaling	3/42	0.001208590604538961	0.009600635224788366	0	0	15.750198255352895	105.81456304852415	ABLIM1;SIAH2;SIAH1
Interferon-gamma signaling pathway	4/97	0.0014281711993084983	0.011187341061249903	0	0	8.87410394265233	58.137454351425724	GBP7;IFNG;FCGR1A;GBP1
Interleukin-12/STAT4 pathway	3/45	0.001477785092690149	0.011417408113386904	0	0	14.622974963181148	95.30101139877681	JUN;IFNG;MAPK14
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	3/47	0.0016765192380744738	0.012777795273973018	0	0	13.95688847235239	89.19896993336747	AIM2;MAPK14;BIRC3
Lipid digestion, mobilization, and transport	3/48	0.0017818416942912629	0.013399449541070295	0	0	13.646048109965635	86.3809554416349	APOE;LDLRAP1;LDLR
Purine salvage	2/13	0.0018624280503563755	0.013821176584223629	0	0	36.89981447124304	231.94759321375395	PNP;DCK
TGF-beta regulation of extracellular matrix	9/565	0.002093529802809754	0.015334426088113003	0	0	3.4409044193216856	21.22660813008021	CLK1;TGFBR3;SELENBP1;CDKN2B;MME;CDKN2A;SERPINE1;SLC2A1;APOE
