,Term,Overlap,Adjusted P-value,Genes
1,Senescence and autophagy,13/99,1.34e-12,JUN; CDKN1A; CXCL8; SERPINB2; CDKN2A; SERPINE1; IL24; MAPK14; THBS1; GABARAP; IFNG; IFI16; CCL3
2,Interleukin-2 signaling pathway,24/847,8.49e-10,CX3CR1; FCGBP; JUN; CXCL8; SERPINE1; IL24; ARAP2; NKG7; FURIN; KIR2DL1; MAPK14; PRSS23; NELL2; LDHB; ABLIM1; IFNG; PLAU; PPP2R2B; CCL3; FLNB; JAK3; LDLR; GBP1; BIRC3
3,Gastrin pathway,7/44,3.91e-07,JUN; CXCL8; SERPINB2; CDKN2A; SERPINE1; HBEGF; BIRC3
4,T cell receptor regulation of apoptosis,16/603,5.75e-06,EGR1; JUN; CDKN1A; CXCL8; SERPINE2; CDKN2A; RHOC; MAPK14; CLK1; PNP; IFNG; IFI16; CCL3; MYBL2; GBP1; BIRC3
5,Chagas disease,8/104,5.75e-06,JUN; CXCL8; IFNG; PPP2R2B; CCL3L3; SERPINE1; CCL3; MAPK14
6,EGFR1 pathway,9/152,6.62e-06,CLK1; SELENBP1; CDKN1A; PNP; MME; PLAU; IGFBP3; MYBL2; HBEGF
7,p53 activity regulation,8/118,1.10e-05,CDKN1A; CDKN2A; IGFBP3; SERPINE1; SESN2; SIAH1; MAPK14; THBS1
8,AP-1 transcription factor network,6/70,9.58e-05,EGR1; JUN; CXCL8; IFNG; PLAU; CDKN2A
9,Bladder cancer,5/42,1.17e-04,CDKN1A; CXCL8; CDKN2A; DAPK2; THBS1
10,E2F transcription factor network,6/74,1.17e-04,CDKN1A; PLAU; CDKN2A; SERPINE1; MYBL2; WASF1
11,ID regulation of gene expression,4/20,1.37e-04,CDKN1A; CXCL8; CDKN2A; THBS1
12,Regular glucocorticoid receptor pathway,6/82,1.63e-04,EGR1; CDKN1A; JUN; CXCL8; IFNG; MAPK14
13,TSP1-induced apoptosis in microvascular endothelial cell,3/8,2.69e-04,JUN; MAPK14; THBS1
14,Dissolution of fibrin clot,3/8,2.69e-04,SERPINB2; PLAU; SERPINE1
15,Fibroblast growth factor 1,4/26,3.01e-04,CDKN1A; SERPINB2; PLAU; SERPINE1
16,Immune system,17/998,3.01e-04,EGR1; JUN; CDKN1A; GBP7; UBE2L6; KIR2DL1; MAPK14; KIR2DL3; KIR2DL4; AIM2; IFNG; FLNB; TLR5; FCGR1A; JAK3; GBP1; BIRC3
17,ATF2 transcription factor network,5/59,3.79e-04,JUN; CXCL8; IFNG; PLAU; MAPK14
18,CD40/CD40L signaling,4/31,5.23e-04,JUN; MAPK14; JAK3; BIRC3
19,HIF-1 transcriptional activity in hypoxia,5/66,5.89e-04,NT5E; JUN; SERPINE1; SLC2A1; FURIN
20,Interferon signaling,7/168,6.10e-04,EGR1; GBP7; IFNG; UBE2L6; FLNB; FCGR1A; GBP1
21,Oncostatin M,9/311,7.01e-04,SELENBP1; JUN; CDKN1A; CXCL8; SERPINB2; PLAU; SERPINE1; LDLR; TGM2
22,Interleukin-1 regulation of extracellular matrix,6/120,7.94e-04,JUN; CXCL8; SERPINB2; IFNG; BIRC3; HBEGF
23,FRA pathway,4/37,8.39e-04,JUN; CXCL8; PLAU; CDKN2A
24,Pathways in cancer,9/325,8.65e-04,JUN; CDKN1A; CDKN2B; CXCL8; FLT3; CDKN2A; DAPK2; SLC2A1; BIRC3
25,Antigen processing and presentation,5/81,1.08e-03,IFNG; KIR2DL1; KIR2DL3; KIR2DL4; HSPA1B
26,Fibrinolysis pathway,3/15,1.08e-03,SERPINB2; PLAU; SERPINE1
27,BDNF signaling pathway,8/261,1.08e-03,EGR1; CHRNA3; JUN; CDKN1A; ABLIM1; IGFBP3; SERPINE1; HSPA1B
28,FSH regulation of apoptosis,8/263,1.08e-03,CX3CR1; ABLIM1; IGFBP3; APOE; MAPK14; THBS1; LDLR; GBP1
29,Interleukin-4 regulation of apoptosis,8/267,1.14e-03,SLC22A4; JUN; CDKN1A; CXCL8; LRRN3; IFI16; NKG7; UBE2L6
30,Chylomicron-mediated lipid transport,3/17,1.47e-03,APOE; LDLRAP1; LDLR
31,"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",8/280,1.49e-03,EGR1; GBP7; IFNG; UBE2L6; FLNB; FCGR1A; JAK3; GBP1
32,Interleukin-5 regulation of apoptosis,6/144,1.51e-03,EGR1; CXCL8; CCL3; MAPK14; BIRC3; HBEGF
33,Regulation of NFAT transcription factors,4/47,1.52e-03,EGR1; JUN; CXCL8; IFNG
34,Wnt signaling pathway and pluripotency,5/98,2.02e-03,JUN; PLAU; PPP2R2B; PRKCZ; LDLR
35,Vitamin B12 metabolism,4/52,2.02e-03,IFNG; SERPINE1; APOE; LDLR
36,4-1BB-dependent immune response,3/20,2.02e-03,JUN; IFNG; MAPK14
37,TSH regulation of gene expression,5/97,2.02e-03,EGR1; JUN; DUSP2; CXCL8; LRRN3
38,Pyrimidine metabolism,5/100,2.17e-03,NT5E; PNP; POLR1D; CMPK2; DCK
39,Wnt signaling pathway,7/231,2.33e-03,JUN; PLAU; PPP2R2B; SIAH1; KREMEN1; PRKCZ; LDLR
40,TAp63 pathway,4/55,2.33e-03,CDKN1A; CDKN2A; IGFBP3; MFGE8
41,Blood clotting cascade,3/23,2.62e-03,SERPINB2; PLAU; SERPINE1
42,Signaling events mediated by PRL,3/23,2.62e-03,EGR1; CDKN1A; RHOC
43,Cyclins and cell cycle regulation,3/23,2.62e-03,CDKN1A; CDKN2B; CDKN2A
44,RAGE pathway,4/60,2.97e-03,CXCL8; SERPINE1; MFGE8; LDLR
45,Epidermal growth factor receptor (EGFR) pathway,5/111,2.98e-03,JUN; CDKN2A; RHOC; MAPK14; PRKCZ
46,Folate metabolism,4/63,3.43e-03,IFNG; SERPINE1; FOLR3; LDLR
47,TWEAK regulation of gene expression,3/27,3.78e-03,CXCL8; SERPINE1; CCL3
48,Retinoblastoma protein regulation,4/66,3.78e-03,CDKN1A; JUN; CDKN2A; MAPK14
49,Signaling by TGF-beta receptor complex,4/66,3.78e-03,CDKN2B; SERPINE1; FURIN; PRKCZ
50,TGF-beta signaling pathway,6/185,3.78e-03,TGFBR3; JUN; IFNG; SERPINE1; MAPK14; THBS1
51,Chemokine signaling pathway,6/189,3.92e-03,CX3CR1; CXCL8; CCL3L3; CCL3; PRKCZ; JAK3
52,Epithelial cell signaling in Helicobacter pylori infection,4/68,3.92e-03,JUN; CXCL8; MAPK14; HBEGF
53,Cell cycle: G1/S checkpoint,3/28,3.92e-03,CDKN1A; CDKN2B; CDKN2A
54,Cytokine-cytokine receptor interaction,7/265,3.92e-03,CX3CR1; CXCL8; IFNG; FLT3; CCL3L3; IL24; CCL3
55,Lipoprotein metabolism,3/29,4.13e-03,APOE; LDLRAP1; LDLR
56,Interleukin-1 signaling pathway,5/125,4.15e-03,JUN; CXCL8; UBE2L6; MAPK14; PRKCZ
57,Leishmaniasis,4/72,4.62e-03,JUN; IFNG; FCGR1A; MAPK14
58,Endocytosis,6/201,5.06e-03,ARAP2; FOLR3; LDLRAP1; PRKCZ; LDLR; HSPA1B
59,Interleukin-7 interactions in immune response,3/34,6.20e-03,JUN; CXCL8; IL24
60,p53 signaling pathway,5/139,6.29e-03,JUN; CDKN1A; IGFBP3; SERPINE1; HSPA1B
61,EGF/EGFR signaling pathway,5/141,6.60e-03,ATXN2; JUN; MYBL2; MAPK14; PRKCZ
62,Toll-like receptor signaling pathway regulation,5/142,6.70e-03,JUN; CXCL8; CCL3; TLR5; MAPK14
63,ATM-dependent DNA damage response,4/82,6.73e-03,CDKN1A; JUN; PLAU; LDLR
64,SMAD2/3 nuclear pathway,4/82,6.73e-03,CDKN1A; JUN; CDKN2B; SERPINE1
65,MAP kinase pathway regulation through dual specificity phosphatases,2/9,7.47e-03,DUSP2; MAPK14
66,NOD signaling pathway,4/85,7.47e-03,CXCL8; AIM2; MAPK14; BIRC3
67,Cyclin D-associated events in G1,3/38,7.59e-03,CDKN1A; CDKN2B; CDKN2A
68,Purine catabolism,2/10,8.87e-03,NT5E; PNP
69,Activation of the AP-1 family of transcription factors,2/10,8.87e-03,JUN; MAPK14
70,Graft-versus-host disease,3/41,9.07e-03,IFNG; KIR2DL1; KIR2DL3
71,Netrin-1 signaling,3/42,9.60e-03,ABLIM1; SIAH2; SIAH1
72,Interferon-gamma signaling pathway,4/97,1.12e-02,GBP7; IFNG; FCGR1A; GBP1
73,Interleukin-12/STAT4 pathway,3/45,1.14e-02,JUN; IFNG; MAPK14
74,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",3/47,1.28e-02,AIM2; MAPK14; BIRC3
75,"Lipid digestion, mobilization, and transport",3/48,1.34e-02,APOE; LDLRAP1; LDLR
76,Purine salvage,2/13,1.38e-02,PNP; DCK
77,TGF-beta regulation of extracellular matrix,9/565,1.53e-02,CLK1; TGFBR3; SELENBP1; CDKN2B; MME; CDKN2A; SERPINE1; SLC2A1; APOE
78,Malaria,3/51,1.53e-02,CXCL8; IFNG; THBS1
79,Platelet amyloid precursor protein pathway,2/14,1.55e-02,PLAU; SERPINE1
80,Androgen receptor regulation of biosynthesis and transcription,3/53,1.67e-02,EGR1; JUN; MAPK14
81,Adhesion and diapedesis of granulocytes,2/15,1.70e-02,CXCL8; IFNG
82,Erythrocyte differentiation pathway,2/15,1.70e-02,FLT3; CCL3
83,Binding of chemokines to chemokine receptors,3/54,1.70e-02,CX3CR1; CXCL8; CCL3
84,Fas signaling pathway,4/115,1.78e-02,CXCL8; MAPK14; PRKCZ; BIRC3
85,Insulin signaling pathway,6/277,1.78e-02,EGR1; JUN; SLC2A1; RHOC; MAPK14; PRKCZ
86,Thromboxane A2 receptor signaling,3/56,1.82e-02,MAPK14; PRKCZ; TGM2
87,Selenium metabolism and selenoproteins,2/16,1.84e-02,SELENBP1; JUN
88,Prolactin regulation of apoptosis,4/118,1.85e-02,LDHB; EGR1; GBP1; BACH2
89,Keratinocyte differentiation,3/57,1.85e-02,JUN; MAPK14; BIRC3
90,Selenium pathway,3/60,2.12e-02,IFNG; SERPINE1; LDLR
91,p75 neurotrophin receptor-mediated signaling,4/124,2.16e-02,FURIN; RHOC; PRKCZ; BIRC3
92,FGF signaling pathway,3/61,2.17e-02,JUN; PLAU; MAPK14
93,Pertussis toxin-insensitive CCR5 signaling in macrophage,2/18,2.18e-02,JUN; MAPK14
94,Shigellosis,3/62,2.22e-02,CXCL8; WASF1; MAPK14
95,TP53 network,2/19,2.35e-02,CDKN1A; CDKN2A
96,Tob role in T-cell activation,2/19,2.35e-02,TGFBR3; IFNG
97,Angiotensin II-stimulated signaling through G-proteins and beta-arrestin,3/64,2.36e-02,EGR1; MAPK14; PRKCZ
98,Interleukin-12-mediated signaling events,3/65,2.41e-02,IFNG; CCL3; MAPK14
99,LPA receptor mediated events,3/65,2.41e-02,JUN; CXCL8; HBEGF
100,Beta-1 integrin cell surface interactions,3/66,2.45e-02,PLAU; THBS1; TGM2
101,Estrogen receptor signaling pathway,2/20,2.45e-02,JUN; MAPK14
102,Hypertrophy pathway,2/20,2.45e-02,IFNG; HBEGF
103,G1 to S cell cycle control,3/67,2.52e-02,CDKN1A; CDKN2B; CDKN2A
104,Mitotic G1-G1/S phases,4/135,2.56e-02,CDKN1A; CDKN2B; CDKN2A; MYBL2
105,CD8/T cell receptor downstream pathway,3/68,2.58e-02,EGR1; JUN; IFNG
106,Natural killer cell-mediated cytotoxicity,4/137,2.60e-02,IFNG; KIR2DL1; KIR2DL3; KIR2DL4
107,Oxidative stress-induced gene expression via Nrf2,2/21,2.60e-02,JUN; MAPK14
108,MAPK signaling pathway,6/314,2.60e-02,JUN; DUSP2; FLNB; MAPK14; PRKCZ; HSPA1B
109,Developmental biology,7/420,2.64e-02,ABLIM1; SIAH2; SIAH1; FURIN; ANGPTL4; RHOC; MAPK14
110,CDC42 signaling events,3/70,2.64e-02,JUN; MAPK14; PRKCZ
111,Nucleotide metabolism,3/70,2.64e-02,NT5E; PNP; DCK
112,T cell receptor signaling pathway,4/139,2.64e-02,JUN; IFNG; ARAP2; MAPK14
113,Innate immune system,6/319,2.64e-02,JUN; AIM2; UBE2L6; TLR5; MAPK14; BIRC3
114,Rac1 cell motility signaling pathway,3/71,2.64e-02,JUN; WASF1; MAPK14
115,Interleukin-6 signaling pathway,3/71,2.64e-02,JUN; MAPK14; JAK3
116,Mitochondrial pathway of apoptosis: multidomain Bcl-2 family,3/71,2.64e-02,DAPK2; PRKCZ; HSPA1B
117,Hypoxia and p53 in the cardiovascular system,2/23,2.82e-02,CDKN1A; IGFBP3
118,RANKL regulation of apoptosis and immune response,3/74,2.91e-02,EGR1; JUN; CCL3
119,Tumor suppressor Arf inhibits ribosomal biogenesis,2/24,2.99e-02,CDKN2A; POLR1D
120,Nicotinate and nicotinamide metabolism,2/24,2.99e-02,NT5E; PNP
121,IGF1 receptor signaling through beta-arrestin,2/25,3.21e-02,PPP2R2B; MAPK14
122,Apoptosis regulation,3/78,3.25e-02,CDKN1A; IFNG; DAPK2
123,p73 transcription factor network,3/79,3.31e-02,CDKN1A; SERPINE1; MAPK14
124,Signaling events mediated by hepatocyte growth factor receptor (c-Met),3/79,3.31e-02,EGR1; JUN; PRKCZ
125,Physiological and pathological hypertrophy  of the heart,2/26,3.32e-02,JUN; MAPK14
126,Selective expression of chemokine receptors during T-cell polarization,2/26,3.32e-02,IFNG; CCL3
127,Apoptosis modulation and signaling,3/80,3.32e-02,JUN; CDKN2A; BIRC3
128,Nuclear beta-catenin signaling and target gene transcription regulation,3/80,3.32e-02,JUN; CXCL8; CDKN2A
129,Integrin signaling pathway,4/155,3.35e-02,JUN; CDKN2A; RHOC; MAPK14
