senescence,searchwords,papergenes,age-signatures,all
"GADD45G, 0.052","JUN, 0.031","CD248, 0.097","HEG1, 0.047","PTGS2, 0.029"
"PIK3CD, 0.037","NDUFAF1, 0.03","LRRN3, 0.083","NXT1, 0.031","CXCL8, 0.027"
"IFNG, 0.036","DUSP22, 0.027","PPP2R2B, 0.045","TNFSF10, 0.03","NDUFAF1, 0.025"
"SLC39A1, 0.034","CDKN1A, 0.027","CCR7, 0.042","VEGFA, 0.028","ZBTB20, 0.024"
"HSPA1B, 0.028","YARS, 0.025","AIM2, 0.041","LRRN3, 0.027","ITM2B, 0.023"
"CYCS, 0.028","MUL1, 0.022","FGFBP2, 0.037","PCYOX1, 0.025","GFRA2, 0.023"
"KIR2DL3, 0.026","DUSP10, 0.022","UBE2O, 0.031","PYCARD, 0.025","NLRP12, 0.023"
"JUN, 0.025","CCL4, 0.022","KCNH7, 0.031","NCAPH, 0.024","PIK3C3, 0.022"
"ID2, 0.024","FLNA, 0.021","SLC22A4, 0.029","DUSP10, 0.024","GAPT, 0.021"
"PRDX3, 0.023","CDK11B, 0.021","GABARAPL1, 0.024","GLUL, 0.024","MYO19, 0.021"
"PIK3C3, 0.023","CSRNP1, 0.021","NKG7, 0.024","KIF22, 0.021","SRSF3, 0.02"
"PPID, 0.023","TNFAIP6, 0.019","ENTPD5, 0.023","REEP5, 0.021","TNFAIP3, 0.018"
"MAPK14, 0.022","EZR, 0.018","GBP5, 0.022","SMARCA4, 0.019","KAT6A, 0.017"
"RELA, 0.022","ULBP2, 0.017","CUL4A, 0.019","SLC25A4, 0.018","NFATC2, 0.016"
"CDK2, 0.015","HNRNPA0, 0.014","SLC25A37, 0.018","GAS2L3, 0.017","TLR9, 0.015"
"SNCA, 0.015","NOG, 0.01","CR2, 0.018","IGFBP3, 0.014","YARS, 0.014"
"E2F5, 0.015","PIAS1, 0.01","TGFBR3, 0.016","EGR1, 0.013","GADD45B, 0.012"
"PPP3CC, 0.014","NLRP3, 0.009","FCRL6, 0.016","BLCAP, 0.011","EIF4G1, 0.011"
"CDC25A, 0.012","IGKV1-12, 0.009","CLK1, 0.014","ARMC9, 0.011","DPP4, 0.011"
"IL24, 0.011","ERBB2, 0.009","TSTA3, 0.014","OLFML3, 0.01","CD248, 0.01"
"CCNE2, 0.011","TNFRSF14, 0.008","IL6, 0.014","CCNE2, 0.009","ADSL, 0.01"
"IFI16, 0.011","CSNK1A1L, 0.008","FCGBP, 0.013","RSRC1, 0.008","ZNF57, 0.01"
"GPX2, 0.01","ANAPC1, 0.008","PAICS, 0.011","C3, 0.008","CASP4, 0.009"
"E2F4, 0.009","ZNF613, 0.008","KREMEN1, 0.011","CYSTM1, 0.008","CDCA8, 0.009"
"CXCL1, 0.008","PSEN1, 0.008","CD274, 0.011","MT1E, 0.007","UPP1, 0.008"
"CALM3, 0.008","HBEGF, 0.008","ABLIM1, 0.01","CAV1, 0.007","ITGB4, 0.007"
"BMI1, 0.008","DYNC1LI2, 0.008","CDKN2A, 0.009","CMSS1, 0.007","NOX4, 0.007"
"ULK3, 0.008","FER, 0.008","AP2A1, 0.009","WDR63, 0.007","CTSG, 0.007"
"HLA-A, 0.008","PTGER2, 0.007","IFI16, 0.008","FANCA, 0.007","PPP1R15A, 0.007"
